id;codigo;fecha_reserva;estado
1;digitize inasmuch about;2026-03-08T00:29:28;aw gosh from
2;serpentine against;2026-03-07T18:18:21;unbearably
3;beneath;2026-03-08T11:50:10;gum immediately parody
4;tighten;2026-03-07T23:25:52;furthermore furthermore neglect
5;anenst;2026-03-08T01:29:57;pulp so
6;even;2026-03-08T12:37:29;blah troubled traditionalism
7;repeat gee;2026-03-07T20:54:00;by undergo mainstream
8;which;2026-03-07T20:06:05;extract
9;painfully smart;2026-03-07T19:42:37;artistic
10;upbeat shakily unethically;2026-03-08T09:41:44;granny beyond um
